"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","2538","Hootel Login","test","Mon Apr 14 16:58:47 GMT 2025","passed","Mon Apr 14 16:58:49 GMT 2025","TestHootel","test_hootel","",""
"","1081","test_hotel_list","test","Mon Apr 14 16:58:52 GMT 2025","passed","Mon Apr 14 16:58:53 GMT 2025","TestHootel","test_hootel","",""
